A,B,C,D
90,71,43,47
56,0,77,37
99,81,92,5
54,95,84,92
7,45,84,32
43,55,71,29
33,27,55,47
78,74,13,77
53,93,14,4
33,45,40,84
55,3,23,73
77,69,88,10
72,57,63,0
24,36,3,99
19,28,22,59
78,10,43,41
87,73,25,66
46,4,43,86
57,66,85,6
28,4,20,64
48,13,94,39
57,94,99,69
38,77,8,99
93,48,29,57
27,47,92,20
81,69,64,9
3,40,80,40
43,45,22,91
43,1,64,34
82,41,62,70
31,82,31,6
8,12,84,87
29,89,98,38
92,44,13,77
13,32,65,64
77,0,23,37
53,48,67,8
56,60,1,87
34,92,11,41
48,93,34,36
78,61,46,49
13,84,8,7
83,3,88,18
9,29,99,57
74,22,10,16
28,65,87,44
49,34,32,96
82,83,45,24
51,78,94,36
65,75,64,72
72,18,48,4
70,19,39,26
87,12,86,76
32,46,28,28
39,56,99,20
30,31,82,49
47,66,16,53
74,47,73,48
12,18,62,73
10,26,84,64
33,52,87,77
2,4,23,74
46,72,88,21
7,1,20,55
48,19,76,10
84,1,97,15
1,38,62,34
9,5,77,8
19,78,76,38
8,47,35,59
21,13,12,32
23,56,24,14
26,84,45,38
51,63,37,69
36,56,42,59
20,84,22,9
19,47,8,11
91,71,31,56
41,42,27,25
77,79,21,28
62,56,82,86
34,7,23,68
97,99,46,43
86,97,60,18
28,24,70,66
28,6,79,15
29,94,68,67
77,14,33,38
44,77,29,18
96,38,86,52
72,49,96,98
24,9,53,31
64,29,33,71
44,25,48,34
72,19,60,58
5,50,62,98
68,89,68,82
40,40,27,73
92,28,26,16
40,88,73,20
